96.60637, -1.148363, 30.91297
68.90637, -1.148363, 30.91297
62.90637, -1.148363, 15.41297
48.50637, -1.148363, 15.41297
48.50637, -1.148363, 3.712966
29.10637, -1.148363, 3.912966
29.10637, -1.148363, 15.11297
19.70637, -1.148363, 15.11297
19.70637, -1.148363, 29.81297
33.40637, -1.148363, 29.81297
33.40637, -1.148363, 33.32297
20.05637, -1.148363, 33.32297
20.05637, -1.148363, 50.47297
15.47637, -1.148363, 50.47297
15.47637, -1.148363, 73.08296
40.70637, -1.148363, 73.08296
40.41637, -1.148363, 60.51296
92.80637, -1.148363, 60.51296
92.80637, -1.148363, 69.81297
